Teller,TijdISO,SecondenSindsMiddernacht,Pin
90494,2019-12-31T10:02:03.241394,36123.241394,17
90495,2019-12-31T10:02:03.504932,36123.504932,17
90496,2019-12-31T10:02:07.719033,36127.719033,17
90497,2019-12-31T10:02:08.344306,36128.344306,17
90498,2019-12-31T10:02:12.744968,36132.744968,17
90499,2019-12-31T10:02:13.457133,36133.457133,17
90500,2019-12-31T10:02:17.980599,36137.980599,17
90501,2019-12-31T10:02:18.577758,36138.577758,17
90502,2019-12-31T10:02:23.095191,36143.095191,17
90503,2019-12-31T10:02:23.855119,36143.855119,17
90504,2019-12-31T10:02:28.353124,36148.353124,17
90505,2019-12-31T10:02:29.096098,36149.096098,17
90506,2019-12-31T10:02:33.583123,36153.583123,17
90507,2019-12-31T10:02:34.340992,36154.340992,17
90508,2019-12-31T10:02:38.827278,36158.827278,17
90509,2019-12-31T10:02:39.584522,36159.584522,17
90510,2019-12-31T10:02:44.083074,36164.083074,17
90511,2019-12-31T10:02:44.830938,36164.830938,17
90512,2019-12-31T10:02:49.349406,36169.349406,17
90513,2019-12-31T10:02:50.107113,36170.107113,17
90514,2019-12-31T10:02:54.626118,36174.626118,17
90515,2019-12-31T10:02:55.429321,36175.429321,17
90516,2019-12-31T10:03:03.141825,36183.141825,17
90517,2019-12-31T10:03:04.779687,36184.779687,17
90518,2019-12-31T10:03:17.521640,36197.52164,17
90519,2019-12-31T10:04:04.678249,36244.678249,17
90520,2019-12-31T10:04:09.666398,36249.666398,17
90521,2019-12-31T10:04:10.651312,36250.651312,17
90522,2019-12-31T10:04:15.748963,36255.748963,17
90523,2019-12-31T10:04:16.764542,36256.764542,17
90524,2019-12-31T10:04:21.939787,36261.939787,17
90525,2019-12-31T10:04:22.903242,36262.903242,17
90526,2019-12-31T10:04:28.133995,36268.133995,17
90527,2019-12-31T10:04:29.199096,36269.199096,17
90528,2019-12-31T10:07:57.137142,36477.137142,17
90529,2019-12-31T10:08:02.305050,36482.30505,17
90530,2019-12-31T10:09:05.926392,36545.926392,17
90531,2019-12-31T10:09:06.354216,36546.354216,17
90532,2019-12-31T10:09:10.113246,36550.113246,17
90533,2019-12-31T10:09:10.554326,36550.554326,17
90534,2019-12-31T10:09:14.284627,36554.284627,17
90535,2019-12-31T10:09:14.720006,36554.720006,17
90536,2019-12-31T10:09:18.316593,36558.316593,17
90537,2019-12-31T10:09:18.649325,36558.649325,17
90538,2019-12-31T10:09:22.126438,36562.126438,17
90539,2019-12-31T10:09:22.427088,36562.427088,17
90540,2019-12-31T10:09:25.877053,36565.877053,17
90541,2019-12-31T10:09:26.183847,36566.183847,17
90542,2019-12-31T10:09:29.583345,36569.583345,17
90543,2019-12-31T10:09:29.886223,36569.886223,17
90544,2019-12-31T10:09:33.310534,36573.310534,17
90545,2019-12-31T10:09:33.596593,36573.596593,17
90546,2019-12-31T10:09:37.048344,36577.048344,17
90547,2019-12-31T10:09:37.352442,36577.352442,17
90548,2019-12-31T10:09:40.794430,36580.79443,17
90549,2019-12-31T10:09:41.116003,36581.116003,17
90550,2019-12-31T10:09:44.524453,36584.524453,17
90551,2019-12-31T10:09:44.818416,36584.818416,17
90552,2019-12-31T10:09:48.227055,36588.227055,17
90553,2019-12-31T10:09:48.508019,36588.508019,17
90554,2019-12-31T10:09:51.941549,36591.941549,17
90555,2019-12-31T10:09:52.256082,36592.256082,17
90556,2019-12-31T10:09:55.664910,36595.66491,17
90557,2019-12-31T10:09:55.977678,36595.977678,17
90558,2019-12-31T10:09:59.408521,36599.408521,17
90559,2019-12-31T10:09:59.696479,36599.696479,17
90560,2019-12-31T10:10:03.130571,36603.130571,17
90561,2019-12-31T10:10:03.449802,36603.449802,17
90562,2019-12-31T10:10:06.827211,36606.827211,17
90563,2019-12-31T10:10:07.125965,36607.125965,17
90564,2019-12-31T10:10:10.535578,36610.535578,17
90565,2019-12-31T10:10:10.812824,36610.812824,17
90566,2019-12-31T10:10:14.185710,36614.18571,17
90567,2019-12-31T10:10:14.485347,36614.485347,17
90568,2019-12-31T10:10:17.896233,36617.896233,17
90569,2019-12-31T10:10:18.210308,36618.210308,17
90570,2019-12-31T10:10:26.878176,36626.878176,17
90571,2019-12-31T10:10:50.065193,36650.065193,17
90572,2019-12-31T10:11:01.036337,36661.036337,17
90573,2019-12-31T10:11:01.395886,36661.395886,17
90574,2019-12-31T10:11:05.016818,36665.016818,17
90575,2019-12-31T10:11:05.421408,36665.421408,17
90576,2019-12-31T10:11:09.053061,36669.053061,17
90577,2019-12-31T10:11:09.417864,36669.417864,17
90578,2019-12-31T10:11:13.011887,36673.011887,17
90579,2019-12-31T10:11:13.359127,36673.359127,17
90580,2019-12-31T10:11:16.947351,36676.947351,17
90581,2019-12-31T10:11:17.322868,36677.322868,17
90582,2019-12-31T10:11:20.892469,36680.892469,17
90583,2019-12-31T10:11:21.280609,36681.280609,17
90584,2019-12-31T10:11:24.891792,36684.891792,17
90585,2019-12-31T10:11:25.251700,36685.2517,17
90586,2019-12-31T10:11:28.865087,36688.865087,17
90587,2019-12-31T10:11:29.245959,36689.245959,17
90588,2019-12-31T10:50:18.575678,39018.575678,17
90589,2019-12-31T10:50:19.385478,39019.385478,17
90590,2019-12-31T10:50:23.264305,39023.264305,17
90591,2019-12-31T10:50:23.560175,39023.560175,17
90592,2019-12-31T10:50:28.189456,39028.189456,17
90593,2019-12-31T10:50:28.985327,39028.985327,17
90594,2019-12-31T10:50:33.588023,39033.588023,17
90595,2019-12-31T10:50:34.424477,39034.424477,17
90596,2019-12-31T10:50:39.059491,39039.059491,17
90597,2019-12-31T10:50:39.871520,39039.87152,17
90598,2019-12-31T10:50:44.456033,39044.456033,17
90599,2019-12-31T10:50:45.228426,39045.228426,17
90600,2019-12-31T10:50:49.805355,39049.805355,17
90601,2019-12-31T10:50:50.586607,39050.586607,17
90602,2019-12-31T10:50:54.395425,39054.395425,17
90603,2019-12-31T10:50:54.570770,39054.57077,17
90604,2019-12-31T10:50:57.629832,39057.629832,17
90605,2019-12-31T10:50:57.750953,39057.750953,17
90606,2019-12-31T10:51:00.767313,39060.767313,17
90607,2019-12-31T10:51:00.889069,39060.889069,17
90608,2019-12-31T10:51:03.905990,39063.90599,17
90609,2019-12-31T10:51:04.077963,39064.077963,17
90610,2019-12-31T10:51:07.085256,39067.085256,17
90611,2019-12-31T10:51:07.208558,39067.208558,17
90612,2019-12-31T10:51:10.235250,39070.23525,17
